temperature,humidity,pressure,status
28.37,50.6,101547,Uncomfortable
22.57,61.5,101393,Uncomfortable
28.46,57.2,101327,Uncomfortable
18.89,32.4,101474,Uncomfortable
26.49,46.1,101464,Uncomfortable
19.12,23.9,101157,Uncomfortable
19.08,36.0,101386,Uncomfortable
17.08,31.6,101525,Uncomfortable
25.6,23.2,101267,Uncomfortable
23.14,40.8,101086,Comfortable
21.3,65.2,101426,Uncomfortable
25.43,62.8,101589,Uncomfortable
20.71,20.3,101217,Uncomfortable
26.3,62.7,101758,Uncomfortable
21.29,57.4,101392,Comfortable
24.05,31.0,101097,Comfortable
21.54,21.5,101203,Uncomfortable
25.19,40.2,101049,Uncomfortable
22.01,26.4,101460,Uncomfortable
15.4,39.7,101408,Uncomfortable
15.41,52.1,101022,Uncomfortable
21.93,22.5,101241,Uncomfortable
18.17,36.3,101585,Uncomfortable
20.69,57.6,101649,Comfortable
18.78,24.1,100917,Uncomfortable
23.09,70.0,101215,Uncomfortable
24.75,59.1,101487,Comfortable
26.31,67.5,101079,Uncomfortable
15.31,27.6,101014,Uncomfortable
25.04,48.2,101096,Uncomfortable
25.49,58.3,101051,Uncomfortable
24.11,57.4,101003,Comfortable
27.29,68.2,100997,Uncomfortable
15.39,35.6,101510,Uncomfortable
29.37,39.8,101544,Uncomfortable
16.14,54.5,101465,Uncomfortable
16.53,58.6,101665,Uncomfortable
24.01,26.1,101785,Uncomfortable
26.74,37.4,101286,Uncomfortable
20.56,45.3,101207,Comfortable
27.74,61.1,100995,Uncomfortable
29.41,51.8,101646,Uncomfortable
25.61,41.8,101560,Uncomfortable
29.48,33.5,101627,Uncomfortable
23.07,44.2,101292,Comfortable
25.97,33.4,101667,Uncomfortable
27.46,24.3,101693,Uncomfortable
18.66,43.2,101449,Uncomfortable
20.68,21.4,101666,Uncomfortable
17.73,30.6,101618,Uncomfortable
20.11,64.0,101531,Uncomfortable
19.14,20.5,101753,Uncomfortable
